textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2020-12/31/2020), Quarter 3 (07/01/2020-09/30/2020), Quarter 2 (04/01/2020-06/30/2020), Quarter 1 (01/01/2020-03/31/2020)",All,All,All,7/28/2023 2:40:52 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  3/31/2020,Personal Residential - Dwelling/Fire,"355,280","13,348","3,882",0,9,"14,600","26,395","75,576,147,649","468,526,224","328,885","7,614,487,844","446,389,151","22,137,073","2,532","2,550",,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Dwelling/Fire - Mobile Homeowners,"41,181","1,599",588,0,0,"1,764","4,575","1,679,753,125","24,237,154","36,606","225,101,793","23,124,550","1,112,604",0,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY,256,17,1,0,0,13,0,"9,853,410","337,571",256,0,"337,571",0,0,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Farmowners,"2,457",43,51,0,0,72,17,"1,490,868,885","11,278,216","2,440","13,473,246","11,192,325","85,891",118,119,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied,"1,795,933","53,575","23,270",0,423,"97,334","77,557","918,230,226,614","4,194,423,687","1,718,376","78,136,877,721","4,033,510,647","160,913,040","3,941","3,997",,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY,"65,893","1,753",729,0,0,"2,106",0,"32,161,809,362","198,992,001","65,893",0,"198,992,001",0,383,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Mobile Homeowners,"190,698","5,893","2,676",0,0,"8,999","6,361","17,367,593,484","214,277,992","184,337","522,168,026","212,055,669","2,222,323",3,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Mobile Homeowners - WIND ONLY,"2,516",97,15,0,0,36,0,"113,757,880","3,124,914","2,516",0,"3,124,914",0,0,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Tenants,"756,685","92,447","8,186",0,5,"107,619","7,376","16,958,123,384","152,160,937","749,309","519,991,995","150,009,896","2,151,041",80,64,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
Period Ending  3/31/2020,Personal Residential - Tenants - WIND ONLY,383,21,2,0,0,10,0,"44,180,921","237,517",383,0,"237,517",0,4,0,,,,,,,,,,,"3,883,550","192,368","48,912",0,559,"270,730","203,552","1,221,097,049,800","6,579,887,507","3,679,998","112,345,345,509","6,296,719,723","283,167,784","8,076","7,242",,,,,,,,,,
