textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2022-12/31/2022), Quarter 3 (07/01/2022-09/30/2022), Quarter 2 (04/01/2022-06/30/2022), Quarter 1 (01/01/2022-03/31/2022)",All,All,All,7/28/2023 2:43:56 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  3/31/2022,Commercial Residential - (Apartment Buildings) - WIND ONLY,611,34,15,0,0,10,0,"682,943,469","5,249,856",611,0,"5,249,856",0,0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Commercial Residential - (Condo Associations Only) - WIND ONLY,"1,400",27,9,0,0,57,0,"5,950,941,293","36,547,569","1,400",0,"36,547,569",0,0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Commercial Residential - (Homeowners Association) - WIND ONLY,148,4,1,0,0,0,0,"395,882,005","1,919,097",148,0,"1,919,097",0,0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Commercial Residential - Allied Lines (Condo Associations Only),789,1,22,0,0,14,4,"3,762,474,190","145,781,469",785,"62,701,694","145,582,056","199,413",0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Commercial Residential - Allied Lines (Excl Condo Associations),175,2,932,0,0,916,0,"423,347,531","2,582,410",175,0,"2,582,410",0,1,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Commercial Residential - CMP (Condo Associations Only),802,27,51,0,0,42,331,"21,246,225,697","111,843,740",471,"2,838,656,644","107,785,429","4,058,311",1,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Commercial Residential - CMP (Excl Condo Associations),"9,279",364,43,0,0,53,744,"1,583,231,801","20,378,232","8,535","371,395,057","16,527,790","3,850,442",2,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Commercial Residential - Dwelling/Fire (Condo Associations Only),518,15,9,0,0,55,10,"6,045,956,535","24,539,671",508,"125,141,100","24,355,436","184,235",0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Commercial Residential - Dwelling/Fire (Excl Condo Associations),418,21,22,0,0,25,21,"4,075,208,695","11,869,718",397,"28,058,776","11,767,752","101,966",3,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Allied Lines,"10,262","2,019",182,0,0,77,"10,262",0,"30,144,658",0,"7,656,671,150",0,"30,144,658",0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,"10,848",580,128,0,0,887,0,"4,548,563,520","34,125,232","10,848",0,"34,125,232",0,0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Condominium Unit Owners,"305,383","12,412","4,158",0,11,"33,446","31,402","46,574,429,897","467,172,102","273,981","13,105,170,487","415,920,019","51,252,083",16,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Condominium Unit Owners - WIND ONLY,"19,621",745,45,0,0,"1,155",0,"3,296,628,396","23,800,030","19,621",0,"23,800,030",0,0,1,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Dwelling/Fire,"293,144","15,808","6,595",0,0,"26,139","13,072","66,354,607,342","503,770,111","280,072","3,137,023,132","491,859,801","11,910,310",0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Dwelling/Fire - Mobile Homeowners,"23,307","1,220",544,0,0,946,926,"989,234,985","15,461,198","22,381","36,770,106","15,333,569","127,629",0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY,218,13,1,0,0,6,0,"8,836,890","430,496",218,0,"430,496",0,0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Farmowners,"2,261",50,56,0,0,78,16,"1,596,679,962","11,604,468","2,245","17,825,234","11,514,929","89,539",7,7,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied,"1,339,510","43,800","30,011",0,54,"131,641","50,461","795,466,994,993","4,163,550,200","1,289,049","69,842,830,344","4,021,642,007","141,908,194","3,414",2,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY,"68,135","2,204",528,0,0,"3,128",0,"36,567,941,172","231,744,561","68,135",0,"231,744,561",0,0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
Period Ending  3/31/2022,Personal Residential - Mobile Homeowners,"136,383","5,406","3,523",0,0,"11,510","5,135","13,239,701,079","183,320,011","131,248","466,253,106","181,728,371","1,591,640",0,0,,,,,,,,,,,"3,017,868","172,227","48,304",0,65,"314,670","121,428","1,032,089,301,912","6,176,183,309","2,896,440","98,394,102,698","5,927,957,819","248,225,490","3,444",10,,,,,,,,,,
