textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2019-12/31/2019), Quarter 3 (07/01/2019-09/30/2019), Quarter 2 (04/01/2019-06/30/2019), Quarter 1 (01/01/2019-03/31/2019)",All,All,All,7/28/2023 2:32:28 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  3/31/2019,Commercial Residential - (Apartment Buildings) - WIND ONLY,"1,122",58,8,0,0,10,0,"943,188,259","8,084,713","1,122",0,"8,084,713",0,0,0,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - (Condo Associations Only) - WIND ONLY,"1,670",115,14,0,0,29,0,"5,033,158,550","25,372,172","1,670",0,"25,372,172",0,0,0,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - (Homeowners Association) - WIND ONLY,126,20,0,0,0,29,0,"356,617,315","1,808,882",126,0,"1,808,882",0,0,0,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - Allied Lines (Condo Associations Only),732,0,13,0,0,30,0,"6,845,426,343","179,823,686",732,0,"179,823,686",0,0,0,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - Allied Lines (Excl Condo Associations),312,22,50,0,0,11,2,"774,180,885","3,669,739",310,"402,874","3,669,281",458,2,0,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - CMP (Condo Associations Only),"1,679",38,74,0,0,95,567,"19,221,790,836","78,454,421","1,112","2,154,236,023","75,419,261","3,035,160",44,41,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - CMP (Excl Condo Associations),"9,202",258,248,0,0,678,773,"2,314,922,685","20,067,513","8,429","518,878,664","18,254,002","1,813,511",6,5,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - Dwelling/Fire (Condo Associations Only),"5,296",251,12,0,0,248,20,"50,865,328,928","153,525,099","5,276","73,376,458","153,410,715","114,384",11,9,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Commercial Residential - Dwelling/Fire (Excl Condo Associations),"1,024",54,16,0,0,44,36,"10,242,369,272","25,931,014",988,"50,551,431","25,726,708","204,306",2,0,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Allied Lines,"59,143","2,310","1,320",0,0,"3,208","12,197","8,084,779,805","97,702,308","46,946","6,557,651,522","73,113,754","24,588,554",0,0,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Allied Lines - WIND ONLY DWELLINGS,"11,534",534,76,0,0,475,0,"4,140,547,699","30,760,983","11,534",0,"30,760,983",0,0,14,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Condominium Unit Owners,"799,842","23,557","11,615",0,88,"37,946","84,460","89,641,217,319","800,876,799","715,382","18,201,791,496","728,268,161","72,608,638","2,266","2,263",,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Condominium Unit Owners - WIND ONLY,"30,729",988,351,0,0,471,0,"4,644,513,825","32,012,172","30,729",0,"32,012,172",0,71,83,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Dwelling/Fire,"675,215","27,283","8,030",0,11,"35,064","38,772","149,957,748,242","870,530,406","636,443","10,690,638,085","839,053,472","31,476,933","8,863","8,860",,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Dwelling/Fire - Mobile Homeowners,"68,652","2,737","1,080",0,0,"1,922","5,964","3,360,017,375","41,961,414","62,688","273,491,073","40,615,651","1,345,763",0,0,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
Period Ending  3/31/2019,Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY,292,23,1,0,0,11,0,"10,237,760","320,683",292,0,"320,683",0,0,0,,,,,,,,,,,"5,762,326","242,046","66,716",1,232,"318,408","261,754","1,865,210,113,225","9,412,486,549","5,500,572","129,597,825,451","9,082,293,881","330,192,668","22,992","23,078",,,,,,,,,,
