textbox14,textbox79,textbox83,textbox81,textbox48
"Quarter 4 (10/01/2021-12/31/2021), Quarter 3 (07/01/2021-09/30/2021), Quarter 2 (04/01/2021-06/30/2021), Quarter 1 (01/01/2021-03/31/2021)",All,All,All,7/28/2023 2:42:19 PM

textbox7,POLICY_TYPE_NM,PIF_TOT,CAN_TOT,NONR_TOT,CHURR_TOT,NRHURR_TOT,NEW_TOT,textbox1,textbox3,PREM_TOT,textbox4,textbox5,textbox6,PEXW_TOT,textbox9,textbox10,CLAIMS_OPENED_TOT,CLAIMS_CLOSED_TOT,CLAIMS_PENDING_TOT,CLAIMS_ADR_TOT,CLAIMS_MED_TOT,CLAIMS_ARB_TOT,CLAIMS_APP_TOT,CLAIMS_SINK_TOT,CLAIMS_SETTL_TOT,CLAIMS_OTH_TOT,textbox63,textbox64,textbox65,textbox66,textbox67,textbox68,textbox69,textbox70,textbox71,textbox72,textbox73,textbox74,textbox75,textbox76,textbox77,CLAIMS_OPENED_TOT1,CLAIMS_CLOSED_TOT1,CLAIMS_PENDING_TOT1,CLAIMS_ADR_TOT1,CLAIMS_MED_TOT1,CLAIMS_ARB_TOT1,CLAIMS_APP_TOT1,CLAIMS_SINK_TOT1,CLAIMS_SETTL_TOT1,CLAIMS_OTH_TOT1
Period Ending  3/31/2021,Commercial Residential - (Apartment Buildings) - WIND ONLY,770,67,21,0,0,14,0,"761,130,317","6,149,693",770,0,"6,149,693",0,0,0,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
Period Ending  3/31/2021,Commercial Residential - (Condo Associations Only) - WIND ONLY,"1,387",92,41,0,0,31,0,"4,435,218,191","24,408,300","1,387",0,"24,408,300",0,0,0,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
Period Ending  3/31/2021,Commercial Residential - (Homeowners Association) - WIND ONLY,164,10,6,0,0,7,0,"389,061,392","1,925,456",164,0,"1,925,456",0,0,0,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
Period Ending  3/31/2021,Commercial Residential - Allied Lines (Condo Associations Only),936,1,38,0,0,17,0,"3,468,635,275","185,998,565",936,0,"185,998,565",0,0,0,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
Period Ending  3/31/2021,Commercial Residential - Allied Lines (Excl Condo Associations),175,6,134,0,0,140,0,"344,061,585","2,149,809",175,0,"2,149,809",0,1,0,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
Period Ending  3/31/2021,Commercial Residential - CMP (Condo Associations Only),"1,454",47,55,0,0,119,433,"22,921,004,291","98,796,185","1,021","2,255,312,290","95,672,769","3,123,416",5,0,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
Period Ending  3/31/2021,Commercial Residential - CMP (Excl Condo Associations),"9,800",395,39,0,0,560,731,"2,252,645,509","22,466,079","9,069","355,408,021","19,120,893","3,345,186",6,3,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
Period Ending  3/31/2021,Commercial Residential - Dwelling/Fire (Condo Associations Only),404,15,2,0,0,14,6,"3,459,064,145","13,203,821",398,"20,207,100","13,177,227","26,594",0,0,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
Period Ending  3/31/2021,Commercial Residential - Dwelling/Fire (Excl Condo Associations),466,22,9,0,0,13,23,"4,006,420,579","11,188,831",443,"43,674,173","11,088,819","100,012",3,0,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
Period Ending  3/31/2021,Personal Residential - Allied Lines,"61,614","2,215","1,389",0,0,"3,041","13,191","8,856,670,967","112,222,318","48,423","7,832,313,713","81,602,619","30,619,699",0,0,,,,,,,,,,,"3,530,775","209,395","49,875",0,35,"307,686","142,284","1,093,392,323,919","6,468,219,758","3,388,491","99,193,440,663","6,220,965,648","247,254,110","1,248",42,,,,,,,,,,
